original_file,sha256,format,width,height,orientation,original_bytes,subject,source_status,unsplash_id,source_url,duplicate_group,corrupt,published_filename,assigned_page,alt_text,output_variants,decorative,optimized_bytes
Images/2h-media-b-5ubnkM0LU-unsplash.jpg,e91b0ae79dfaa5057177609f0f6f65e8d10a02ebda804d38ca0f855632ee82a6,JPEG,2400,1349,landscape,876806,paperwork stack,USER_REPORTED_UNSPLASH_ID_IN_FILENAME,b-5ubnkM0LU,https://unsplash.com/photos/b-5ubnkM0LU,,no,,,,,,
Images/adrian-sulyok-sczNLg6rrhQ-unsplash.jpg,5d059e7f8f1be002e7c9a5060bcdfc8676885ba906e3489fd375fc3b1c9014d6,JPEG,2400,1600,landscape,1158150,logistics bins,USER_REPORTED_UNSPLASH_ID_IN_FILENAME,sczNLg6rrhQ,https://unsplash.com/photos/sczNLg6rrhQ,,no,,,,,,
Images/bluestonex-iDqNlr1Y1_w-unsplash.jpg,3f8f8b526d33a21f07c280ef331a0cd1b8717163f6ac8dd7fdd2b46ec6c55a56,JPEG,2400,1600,landscape,329446,laptop spreadsheet,USER_REPORTED_UNSPLASH_ID_IN_FILENAME,iDqNlr1Y1_w,https://unsplash.com/photos/iDqNlr1Y1_w,,no,assets/images/articles/supplier-price-list-spreadsheet-1200.jpg,/articles/automate-supplier-price-lists/,Product spreadsheet open on a laptop,"assets/images/articles/supplier-price-list-spreadsheet-640.webp (640x336 WebP, 12698 bytes); assets/images/articles/supplier-price-list-spreadsheet-1200.webp (1200x630 WebP, 27328 bytes); assets/images/articles/supplier-price-list-spreadsheet-1200.jpg (1200x630 JPEG, 68165 bytes)",no,108191
Images/cht-gsml-QfQW294I8sQ-unsplash.jpg,2c22fc41a781f4f17118f5550defe477809f1a12af5613a9c9214748ed178c44,JPEG,2400,1600,landscape,269228,calculator and notebook,USER_REPORTED_UNSPLASH_ID_IN_FILENAME,QfQW294I8sQ,https://unsplash.com/photos/QfQW294I8sQ,,no,,,,,,
Images/claudio-schwarz-q8kR_ie6WnI-unsplash.jpg,76b34cbebc35a6a6de4f3ed993b01425e126dbb13a705e4dd18c665cacf428f8,JPEG,2400,1601,landscape,579165,boxes on storage crate,USER_REPORTED_UNSPLASH_ID_IN_FILENAME,q8kR_ie6WnI,https://unsplash.com/photos/q8kR_ie6WnI,,no,,,,,,
Images/compagnons-A6alrOMGgtQ-unsplash.jpg,73f8eb543ad725c861369ef9ccb35721b1a80e71c6093b22a026b3448584fb2e,JPEG,2400,1600,landscape,719333,paper packaging,USER_REPORTED_UNSPLASH_ID_IN_FILENAME,A6alrOMGgtQ,https://unsplash.com/photos/A6alrOMGgtQ,,no,,,,,,
Images/compagnons-j8C0xOCuX0U-unsplash.jpg,6724b7403c747ab8828a9754790fa9ec88b7a8faec034a36ca5e8ce1ccedea2d,JPEG,2400,1594,landscape,634798,warehouse inventory,USER_REPORTED_UNSPLASH_ID_IN_FILENAME,j8C0xOCuX0U,https://unsplash.com/photos/j8C0xOCuX0U,,no,assets/images/articles/warehouse-stock-inventory-1200.jpg,/articles/why-stock-sync-fails-shopify-amazon-ebay/,Stock held on shelving in a warehouse,"assets/images/articles/warehouse-stock-inventory-640.webp (640x336 WebP, 34440 bytes); assets/images/articles/warehouse-stock-inventory-1200.webp (1200x630 WebP, 78610 bytes); assets/images/articles/warehouse-stock-inventory-1200.jpg (1200x630 JPEG, 149962 bytes)",no,263012
Images/cytonn-photography-GJao3ZTX9gU-unsplash.jpg,70afcf0c52f51956bebecdb9b4eb5bb02086c7395efa00b03c3987279b312aff,JPEG,2400,1602,landscape,262608,writing on paper,USER_REPORTED_UNSPLASH_ID_IN_FILENAME,GJao3ZTX9gU,https://unsplash.com/photos/GJao3ZTX9gU,,no,assets/images/articles/wholesale-order-form-1200.jpg,/articles/stop-rekeying-wholesale-orders-sage-xero/,Person completing a business order form on paper,"assets/images/articles/wholesale-order-form-640.webp (640x336 WebP, 8166 bytes); assets/images/articles/wholesale-order-form-1200.webp (1200x630 WebP, 20188 bytes); assets/images/articles/wholesale-order-form-1200.jpg (1200x630 JPEG, 52734 bytes)",no,81088
Images/declan-sun-6N6EXN0x_E4-unsplash.jpg,42a327ee8c1e5f9be5042c82d1b6f9d30073fc11d45704933d381366137a1afc,JPEG,2400,3200,portrait,1100615,stacked boxes,USER_REPORTED_UNSPLASH_ID_IN_FILENAME,6N6EXN0x_E4,https://unsplash.com/photos/6N6EXN0x_E4,,no,,,,,,
Images/federica-galli-_xhZcNsqPhQ-unsplash.jpg,1136238a2a857930a9343c8b16d7d387eb740dc5dd52b986c4e111bbe2d09907,JPEG,2400,1600,landscape,337233,laptop and plant,USER_REPORTED_UNSPLASH_ID_IN_FILENAME,_xhZcNsqPhQ,https://unsplash.com/photos/_xhZcNsqPhQ,,no,assets/images/articles/spreadsheet-operating-rules-1200.jpg,/articles/spreadsheet-not-the-problem-operating-rules/,Operational spreadsheet reviewed on a laptop at a clear workspace,"assets/images/articles/spreadsheet-operating-rules-640.webp (640x336 WebP, 9664 bytes); assets/images/articles/spreadsheet-operating-rules-1200.webp (1200x630 WebP, 23638 bytes); assets/images/articles/spreadsheet-operating-rules-1200.jpg (1200x630 JPEG, 60358 bytes)",no,93660
